a	b	d	c	h	rmse
0.00022978	0.13576487	0.03882895	14.3970	2.0917	6.3424
0.00061868	1.19330788	0.04513760	19.6943	2.1528	11.6533
0.00060259	0.38288447	0.00341671	17.7098	2.6025	6.9718
0.00044935	0.83245367	0.03926444	14.6766	2.8097	4.5523
0.00011005	0.79360825	0.07351329	19.6818	1.6656	14.2345
0.00041305	0.34028122	0.09718729	12.2813	1.6977	7.4055
0.00040371	0.88643646	0.08030402	19.9101	1.6958	14.6115
0.00021770	1.08329880	0.01444695	18.4207	2.8602	6.9861
0.00078786	0.69521904	0.03229405	13.3832	1.5080	7.8311
0.00060691	0.86905068	0.07051110	14.7821	2.5100	6.0684
0.00022719	0.93541467	0.01024467	13.3150	1.6583	6.5660
0.00082858	0.08041514	0.05717256	19.1157	1.8330	12.5230
0.00058857	0.23283058	0.07678523	17.1671	1.7075	11.6232
0.00061758	0.95184392	0.08913596	12.6480	1.5811	8.2832
0.00055849	0.89414680	0.02099226	16.1194	1.7598	9.1614
0.00043909	1.00581169	0.07240096	15.5316	2.5736	6.5485
0.00084150	0.41716784	0.08630865	15.3102	1.5196	10.9986
0.00042021	1.03667867	0.00837756	13.9916	1.9534	6.0935
0.00086602	0.44874212	0.01264584	12.0700	1.5248	5.9928
0.00066721	0.57835782	0.02200149	13.0058	2.4966	3.8951
0.00094235	0.36656138	0.09870744	14.8622	1.5866	10.6075
0.00059241	0.23325510	0.01407140	12.6688	2.7355	3.6271
0.00013055	1.01204848	0.07122651	14.5517	2.9424	4.5832
0.00085401	0.35392991	0.03427058	12.0876	1.6021	6.1590
0.00056330	1.16703391	0.06505218	15.5352	1.6237	10.3353
0.00086065	0.62290484	0.02120022	15.1303	1.6262	8.7718
0.00099390	0.81678933	0.06451560	16.3861	2.8171	6.3528
0.00034807	0.60905015	0.01382400	18.9733	2.1773	9.9239
0.00082914	0.19708693	0.04597734	18.2807	2.1964	9.9134
0.00071391	1.04657066	0.02058753	14.8839	2.5346	5.1985
0.00021143	1.07203138	0.00154964	13.8333	2.6425	4.0676
0.00087199	1.03235471	0.00295174	14.6033	2.5473	4.7290
0.00037851	0.13762350	0.03364108	12.5643	2.9117	3.6864
0.00064331	0.18513253	0.07572044	19.8642	2.5629	10.5807
0.00085909	0.27664012	0.03433995	18.8132	2.7828	7.9042
0.00074785	0.16987865	0.00384870	18.0756	2.3445	8.2061
0.00028230	0.17353684	0.06446178	12.7211	1.5534	7.5157
0.00057551	1.00852287	0.03263613	13.4553	2.0898	5.6134
0.00060098	0.88856459	0.04603770	12.7316	2.2811	4.5801
0.00068471	1.10738456	0.07848991	19.3272	2.3052	11.4588
0.00076848	0.82421994	0.09288361	18.8633	2.8293	9.1484
0.00022221	1.03658044	0.05807135	19.2849	2.7516	8.9819
0.00005551	0.45501280	0.09122699	13.0304	2.6088	4.5326
0.00039836	0.52283466	0.04198151	18.2768	2.4444	8.7982
0.00043026	0.76529813	0.06539929	16.6536	2.3529	8.2132
0.00052069	0.01955988	0.09449368	19.5012	1.6552	14.5470
0.00062551	0.31782472	0.05343867	19.6486	1.6658	13.7015
0.00011173	0.21384473	0.09681953	15.7286	2.3070	8.0561
0.00063064	0.50088114	0.01877450	17.0925	1.5771	10.7612
0.00017622	0.84412462	0.00367109	16.6259	1.6249	9.7214
0.00079114	0.48387671	0.01219188	18.3398	1.7623	11.0737
0.00092496	0.98436737	0.09363789	13.8126	2.0891	7.4612
0.00067074	1.18453526	0.09612204	15.4986	2.7724	6.4237
0.00029868	0.03043146	0.04674291	14.6897	2.6982	4.8096
0.00097470	1.12261188	0.02066433	19.8515	2.2962	10.7010
0.00095313	0.90658706	0.04815613	17.9522	1.7037	11.9732
0.00072933	0.68296796	0.00439240	12.6366	2.0973	4.3654
0.00005186	1.18818486	0.02581520	12.9525	2.0912	4.9789
0.00040148	1.15796506	0.04081172	18.8137	2.7524	8.2393
0.00047797	0.07085399	0.03227558	14.2925	1.8470	7.0823
0.00021382	0.94151008	0.00807845	12.2768	1.8645	4.8119
0.00078125	0.44663778	0.04507694	18.7980	1.5610	13.1903
0.00099182	0.95046479	0.04874783	15.3879	1.5184	10.2938
0.00040189	0.75534558	0.05392856	16.9723	1.6582	11.1579
0.00027068	0.97037506	0.09158803	19.2641	2.5588	10.5111
0.00073204	1.06954169	0.08671163	14.8744	2.2288	7.6919
0.00014855	0.89507908	0.02176323	18.6491	2.2104	9.6734
0.00018236	0.84823126	0.00351329	18.0497	2.0734	9.2546
0.00025640	0.82375062	0.00403006	12.8333	1.6313	6.0691
0.00043287	0.51350844	0.09875277	17.6287	2.4281	9.5786
0.00085378	0.72140193	0.03231173	16.3475	2.3128	7.4299
0.00022191	0.97430456	0.07321113	16.0575	2.6472	6.7227
0.00073603	0.12398354	0.08405313	15.4616	2.5407	6.7238
0.00058031	1.02824986	0.08455274	16.7687	2.6264	7.7939
0.00068552	1.13303185	0.02018047	16.9423	1.9955	9.0505
0.00072212	0.58347923	0.05387596	16.2022	2.1452	8.3749
0.00039905	0.51704925	0.05752303	18.3034	2.6295	8.4420
0.00039123	1.03738713	0.03040025	17.6706	2.9597	6.3230
0.00096189	0.74962729	0.04413757	16.2822	2.8240	5.8444
0.00058807	0.45454800	0.05147569	17.6960	1.7392	11.4253
0.00061101	0.60866618	0.03378884	15.7325	2.5895	5.8638
0.00037022	0.67658728	0.02620394	13.0607	2.2596	4.5183
0.00085905	1.08752048	0.08168089	16.7189	2.8436	6.9477
0.00032930	0.03041458	0.06387997	12.4796	1.6800	6.7119
0.00017882	1.17365754	0.01900117	18.5901	2.3906	8.9129
0.00074283	0.26297724	0.09399123	14.8145	2.2002	7.7209
0.00043777	0.37264863	0.09793983	16.5557	2.1512	9.6457
0.00080343	0.89064312	0.07737441	12.6681	2.4952	4.5055
0.00052387	0.08187743	0.04637415	16.7154	2.3341	7.7816
0.00082807	0.50443518	0.07953088	16.8233	1.5817	12.0578
0.00016386	0.18817739	0.01931219	14.0400	2.6821	4.1878
0.00082718	1.06910729	0.05382536	13.8233	2.9160	4.0199
0.00030393	0.69081539	0.07799824	16.7207	1.7071	11.2646
0.00068836	0.83436263	0.02103297	16.5952	2.0005	8.6432
0.00022342	0.05675526	0.02998097	17.5042	2.4523	7.6699
0.00070013	1.09809422	0.03477765	16.7453	2.3967	7.5847
0.00089858	0.61082113	0.01246064	12.0860	2.8061	3.5703
0.00071840	0.43137601	0.02713924	14.8150	2.3256	5.8064
0.00048945	0.69049412	0.09957892	19.4869	1.8353	14.0435
0.00069248	0.92356199	0.01159370	19.5350	1.8082	12.1234
0.00032306	0.76134723	0.09396746	18.1562	1.5952	13.6250
0.00018702	0.69898945	0.04392871	19.1538	1.5449	13.4911
0.00084251	0.41975492	0.02023019	12.6253	2.3111	3.9911
0.00082035	0.52433461	0.00536147	16.0776	2.2791	6.7276
0.00072223	1.01671505	0.02468725	14.1327	2.0104	6.3972
0.00079586	0.50533253	0.05308694	15.4097	2.1982	7.3882
0.00021404	0.79386520	0.02182118	16.2522	2.5128	6.3256
0.00017904	0.41642591	0.03458215	14.2100	2.5435	4.7133
0.00045693	0.47487000	0.09743796	13.7801	2.3196	6.3538
0.00096427	1.18362105	0.00548370	14.0899	1.6971	7.2713
0.00009353	0.68764162	0.00555823	15.0878	2.0211	6.6674
0.00014946	0.30712140	0.09559724	14.1740	1.9537	8.0247
0.00048811	0.68268955	0.05210002	14.2878	2.6487	4.8136
0.00009034	1.12477684	0.01071882	19.6043	2.1818	10.5066
0.00034294	0.93151999	0.08620909	18.5141	2.6025	9.4909
0.00086676	0.09591892	0.05050268	13.2153	1.7928	6.7832
0.00051297	0.70924294	0.00164497	13.5908	1.5621	7.0409
0.00015343	0.51418149	0.08323545	17.1111	2.0611	10.1588
0.00011132	0.59578878	0.03767656	18.0755	2.1763	9.5360
0.00080153	0.89187467	0.08014867	14.5839	1.7889	9.0638
0.00035200	0.26666197	0.02562395	14.2869	1.6961	7.5541
0.00096316	0.72350818	0.09399843	18.2479	2.8120	8.6864
0.00079766	0.07418030	0.07396955	16.1796	2.2354	8.3535
0.00099356	0.32749602	0.00780312	16.7667	1.6958	9.7259
0.00024678	1.11530161	0.01037967	15.9328	2.4450	6.1377
0.00015270	0.26541963	0.06897778	14.3095	2.0198	7.2175
0.00011229	0.17898104	0.01973532	17.8070	1.9230	9.8161
0.00066011	0.58206213	0.08265533	15.3026	2.7212	5.9982
0.00022005	0.14982934	0.08970755	15.7103	2.5682	6.8725
0.00071615	0.29824468	0.06486102	12.9756	2.6718	3.9756
0.00078668	0.80255651	0.03513584	18.9556	1.9647	11.4342
0.00092054	0.01771522	0.04881622	16.5219	2.7987	6.0737
0.00063887	1.14509189	0.06326286	14.0835	2.7024	4.7849
0.00010984	0.58901691	0.02481140	18.4205	2.2599	9.2453
0.00059371	0.43993565	0.05455022	18.7581	2.6855	8.6110
0.00016391	0.07144640	0.05561585	12.9529	2.1799	5.0506
0.00071403	0.62982988	0.03914776	13.2970	1.7022	7.0609
0.00073442	0.47074836	0.01025989	14.9676	2.4229	5.3580
0.00098477	0.06875376	0.05498060	13.5794	2.0671	6.1658
0.00069862	0.45870546	0.04232475	16.0807	2.3637	7.1116
0.00034944	0.07453984	0.06405777	17.3265	2.5093	8.0250
0.00080154	0.05423705	0.04655771	18.8300	1.5921	13.0208
0.00081281	0.79487681	0.02917800	18.1497	1.8075	11.1800
0.00035767	0.65024012	0.01071985	17.5235	2.4688	7.4001
0.00080296	0.14066447	0.08018129	19.9511	2.7851	9.8947
0.00044816	0.34442714	0.02828887	16.0290	1.9692	8.2185
0.00030203	0.23014364	0.09363988	15.9286	2.3285	8.1316
0.00006319	1.01268852	0.06600412	19.4650	2.8827	8.7834
0.00054665	1.00224555	0.00807557	14.6172	1.9944	6.5281
0.00065579	0.33019647	0.02904614	16.0896	2.1481	7.6257
0.00086014	0.19699706	0.02718508	17.3129	1.9195	9.6993
0.00017171	0.83210069	0.00479048	14.1290	2.3032	4.9424
0.00064721	0.48371804	0.03134330	13.8705	2.2865	5.1927
0.00080222	0.48215526	0.08588757	17.1289	2.1724	9.9325
0.00042461	0.62832350	0.03235696	12.8297	2.6234	3.6924
0.00055824	0.09291726	0.07714815	17.9139	2.1428	10.4357
0.00066497	1.01948977	0.09696504	17.3729	2.2948	10.0426
0.00019832	0.55391920	0.06698063	14.7171	2.5935	5.5211
0.00051548	1.07984364	0.03966617	15.5837	1.7627	9.1066
0.00082481	0.49814141	0.03222157	13.9450	2.5157	4.6197
0.00071646	0.46358716	0.01569868	19.2377	2.4880	9.0332
0.00072578	0.71000195	0.01493869	17.3409	1.8213	9.9493
0.00048229	0.45919359	0.02706622	17.7191	2.2955	8.5378
0.00048487	0.20888811	0.09127691	12.4723	2.8565	3.6785
0.00037799	1.18947375	0.06241870	13.4207	1.8291	7.2806
0.00044145	0.74788332	0.03086368	12.2968	2.4742	3.5921
0.00076808	0.42128912	0.08311092	12.7194	2.5208	4.4844
0.00066369	0.40824327	0.06415305	14.8200	1.7542	8.8612
0.00036241	0.32027754	0.04836351	14.6018	2.8099	4.5510
0.00068799	0.72052473	0.06620156	15.9339	2.0189	8.9629
0.00048420	0.46417463	0.08426589	15.3529	2.3653	7.3207
0.00065014	0.96216881	0.03146408	14.7258	2.2460	6.1799
0.00023936	0.26060629	0.03287350	14.2141	2.4059	5.0495
0.00039204	0.44184804	0.01828349	18.3251	2.0330	9.9570
0.00033053	0.82180285	0.01163753	19.5122	1.7443	12.2596
0.00040290	0.80753106	0.07992345	17.2488	1.9618	10.7816
0.00043459	1.06451893	0.01233186	18.0844	2.2524	8.8650
0.00021298	0.53256422	0.05035566	14.4719	1.6325	8.6135
0.00013968	0.30128926	0.01930099	16.2699	2.8258	5.3427
0.00019867	0.11937553	0.02529510	17.0012	2.7687	6.1111
0.00028429	1.01050866	0.07871143	13.4250	2.7000	4.4890
0.00038992	0.63960910	0.00122750	13.3788	1.8235	5.7881
0.00099667	0.49701768	0.01497802	13.6785	2.8942	3.8249
0.00033933	1.15240765	0.01249738	16.3863	2.0493	8.0580
0.00035418	0.01925432	0.08785532	16.2842	2.2844	8.4666
0.00078583	0.59821731	0.07097214	15.8412	2.2271	8.1218
0.00009560	0.86097634	0.09169451	17.2817	2.7383	7.8565
0.00009958	1.11938381	0.09266771	18.0502	1.8884	12.2215
0.00013431	1.10830450	0.01428215	17.8808	2.7601	6.8363
0.00042765	0.77083522	0.04921363	15.9422	2.6295	6.1931
0.00064957	0.97745907	0.05110984	13.4144	2.1795	5.6456
0.00011907	0.04258212	0.02061631	15.3124	1.8928	7.5371
0.00048742	0.56988221	0.06814580	16.5926	1.7623	10.6611
0.00009387	0.39436781	0.05583098	13.3627	1.7577	7.0818
0.00049260	0.38559902	0.04830529	15.2236	1.7280	8.9250
0.00029312	0.91793305	0.02190763	16.7304	1.5510	10.6127
0.00032425	0.58139539	0.03527248	13.5347	2.2884	4.9422
0.00014418	0.80027205	0.08516516	18.6967	1.9181	12.4557
0.00091741	0.60919565	0.03906879	16.6211	1.7660	10.0750
0.00081527	0.70808262	0.08444149	12.1754	1.7183	7.0961
0.00077588	0.27861005	0.02459281	16.5735	2.4771	6.7755
0.00015972	0.83102161	0.01861522	19.5441	2.4362	9.5489
0.00071572	0.60090989	0.08862977	17.9373	1.7446	12.6679
0.00022613	0.74050796	0.06934330	14.0851	1.5322	9.2064
0.00095234	0.49382359	0.06760485	13.7152	1.9390	7.2003
0.00065918	1.09167397	0.03354895	18.5911	2.5501	8.6847
0.00066196	0.11313657	0.06494571	14.9094	2.0279	7.7444
0.00064463	0.30919254	0.04631948	14.2729	2.0657	6.6062
0.00094898	0.89349979	0.00842506	17.5714	1.8068	10.1863
0.00031403	0.17344350	0.00603434	17.3327	2.0813	8.4771
0.00046602	0.72408968	0.09160154	15.1817	2.3519	7.4506
0.00097520	0.88626510	0.03197491	15.4446	2.7402	5.2399
0.00077114	0.39201510	0.07746656	16.4906	2.7089	6.9618
0.00035342	0.08055495	0.08231607	18.8269	2.7695	8.8311
0.00007024	0.48629236	0.08687026	14.0920	2.0547	7.3388
0.00087991	0.18982488	0.03603953	19.4258	2.0866	11.2655
0.00079047	1.14493489	0.02699192	13.8666	2.5702	4.4337
0.00084946	0.31567243	0.01854166	18.5436	2.0891	10.0191
0.00049227	0.49048698	0.01010520	15.1762	2.3213	5.8166
0.00074492	0.63166255	0.03590696	18.0559	2.2289	9.4174
0.00053777	0.03070376	0.09453302	18.4036	2.0486	11.7344
0.00016393	1.03714299	0.02948286	12.2877	2.4049	3.6995
0.00072799	0.02962996	0.00419312	16.2286	2.8305	5.1619
0.00062448	1.02267456	0.07578975	16.3228	2.7712	6.6631
0.00092875	0.98428720	0.00582750	17.5992	2.4566	7.5854
0.00090583	1.11457181	0.01862642	19.1426	1.6761	12.5831
0.00048813	0.60655141	0.05075746	16.4544	2.5731	6.8495
0.00011709	0.91939354	0.02320595	17.7799	2.6521	7.2261
0.00045011	0.76829797	0.06035888	18.4385	2.8076	8.0231
0.00093155	0.73445600	0.07594351	17.2614	1.7741	11.6383
0.00025618	0.07976210	0.06175451	18.0387	2.8408	7.3939
0.00027587	0.53253472	0.08908828	17.1584	2.2876	9.4341
0.00054437	0.61264056	0.02590545	12.8312	1.9232	5.4262
0.00078059	0.20517580	0.06402630	12.9328	2.0196	5.9396
0.00074981	0.96556371	0.07202517	18.3847	1.8616	12.2727
0.00034379	0.03747292	0.08027776	15.0007	2.1889	7.4528
0.00075120	0.93082285	0.08347224	17.3625	1.8079	11.7895
0.00075985	0.76811087	0.00368225	12.6212	1.5311	6.3495
0.00036478	0.22787297	0.09435761	13.5586	2.2428	6.2861
0.00063016	1.13277447	0.02565726	17.7787	2.5665	7.7083
0.00057274	0.11925226	0.00817172	19.0531	2.5441	8.4084
0.00098683	1.11551321	0.00621345	17.9484	2.2526	8.7357
0.00069273	1.10112345	0.00165836	15.4428	2.6330	5.1171
0.00094037	1.03735149	0.08635070	17.3612	2.1998	10.2427
0.00022472	0.63760883	0.03106596	15.8133	1.9965	7.9824
0.00075498	0.21357024	0.06740066	12.4126	1.7644	6.5418
0.00041211	0.63208044	0.03520948	17.2486	1.5463	11.4245
0.00005441	0.83973813	0.09922288	14.9951	2.7752	5.8476
0.00041853	0.27202311	0.09747306	19.4935	1.9512	13.3427
0.00058956	0.15938476	0.02981663	15.2561	2.2383	6.4819
0.00013626	1.05486429	0.08829372	18.5759	2.0781	11.7879
0.00082934	1.18082118	0.05853102	16.8983	2.0770	9.6245
0.00023394	0.54216427	0.02729825	19.2958	2.5488	9.0123
0.00082201	0.23388743	0.06632423	13.6691	2.8300	4.1296
0.00017226	0.77837521	0.06974217	14.6130	2.5924	5.5285
0.00005431	0.70349300	0.09541629	13.4278	1.7046	8.4411
0.00030110	0.17609775	0.00620180	18.4004	2.7886	6.9411
0.00039405	0.98727745	0.00344146	19.1814	2.9255	7.2581
0.00010807	0.94602609	0.05900246	16.5281	1.6113	11.0252
0.00022602	1.18074214	0.04971543	15.0116	2.1567	7.1330
0.00026998	1.14457929	0.00314503	13.4301	1.8625	5.8065
0.00037310	1.10745656	0.01601404	16.5760	2.3096	7.3072
0.00009630	0.73018879	0.02925564	16.3183	1.6794	9.7344
0.00049732	1.17143166	0.00996449	15.0976	1.7410	8.0502
0.00060710	0.03851360	0.08402744	16.9045	2.7652	7.1617
0.00088721	0.58369654	0.06386450	12.9741	2.4034	4.7235
0.00086771	0.97079235	0.01842804	16.2492	2.3406	7.0064
0.00036410	0.13554719	0.00462817	13.8136	2.7826	4.0059
0.00009191	0.53849238	0.02077678	17.6366	2.6548	6.9783
0.00067876	1.13921273	0.04297087	14.5290	1.9064	7.6180
0.00057521	0.33826753	0.03996648	16.7006	1.8053	9.8482
0.00088240	0.40323621	0.03715250	12.2976	2.5666	3.4993
0.00067769	0.50676715	0.05115389	12.6387	1.5917	7.1339
0.00071263	0.57725310	0.01542128	14.7894	1.6181	8.2913
0.00027425	1.08563733	0.00179074	18.8274	1.9209	10.6659
0.00024565	0.14718246	0.06377973	12.5893	1.7337	6.6038
0.00089029	0.61404079	0.05169681	13.1640	1.6232	7.6096
0.00032897	0.73416972	0.05640638	12.5491	2.8049	3.5390
0.00030799	0.68115598	0.04628601	18.1003	2.9554	6.8914
0.00026066	0.20768791	0.04404493	19.8122	2.5827	9.6520
0.00068285	1.17892039	0.08088621	17.5036	2.5586	8.7258
0.00050433	0.07756321	0.05988985	17.4575	2.8640	6.8090
0.00014600	0.84007114	0.04287004	17.2447	2.4049	8.0189
0.00038409	1.13805044	0.08943779	16.6046	2.2974	9.0582
0.00082057	1.18668890	0.06847236	14.6957	2.4805	6.1696
0.00071806	0.40847009	0.08434015	19.9459	2.8106	9.9296
0.00044560	0.43861365	0.08429283	13.0249	1.7990	7.3917
0.00006995	0.27727786	0.08535272	19.4864	2.3537	11.1996
0.00099252	0.51733291	0.05519425	12.7917	2.1506	5.2452
0.00010392	0.28983486	0.00353348	15.6515	2.1512	6.6048
0.00018204	0.63938147	0.07047707	14.6620	2.4690	5.9736
0.00012747	0.67190212	0.06489642	18.4706	2.5839	8.9159
0.00028282	0.64211226	0.07458542	15.4882	2.4262	6.9863
0.00080578	0.83711940	0.02450095	16.3186	2.8448	5.5022
0.00059223	0.45080304	0.01274649	12.4900	2.4032	3.6730
0.00040797	0.44271249	0.02216598	17.3608	2.9286	5.9661
0.00028905	0.26425704	0.09046516	19.7598	2.9811	9.0979
0.00079075	0.49351305	0.09513949	14.1123	1.7086	9.2316
0.00082061	0.38099611	0.01146335	19.8704	2.1339	10.9700
0.00024803	0.86353087	0.09370007	16.2452	2.8680	6.5323
0.00072161	1.05548906	0.07530475	12.8887	1.9586	6.6160
0.00014604	1.01178646	0.09494450	13.8159	2.1327	7.1225
0.00029748	0.25768754	0.01391322	19.0698	1.9850	10.7151
0.00078318	0.15012781	0.08376965	17.4213	1.8001	11.6784
0.00077875	0.28002900	0.08591267	14.1874	2.6041	5.4600
0.00057227	0.01998978	0.05728195	13.4611	2.4169	4.8105
0.00017837	0.09130701	0.09651744	18.6378	2.6127	9.5642
0.00043930	0.17522673	0.08251585	19.3479	2.6326	9.9109
0.00067296	0.21075477	0.00626127	18.7925	1.7221	11.4557
0.00015724	0.95431215	0.05198845	19.3016	1.7938	12.8030
0.00058650	0.59624833	0.08634012	13.8069	1.9672	7.5736
0.00033531	0.31297320	0.07730052	17.5947	2.8636	7.2926
0.00052300	0.63053137	0.07298905	16.4721	2.4366	7.8760
0.00051221	0.52716160	0.06564527	13.9270	2.5744	4.9453
0.00045904	0.40578109	0.07296523	14.1543	1.5941	9.0691
0.00013629	0.04982459	0.04949774	19.5468	2.1134	11.3691
0.00024949	0.35033840	0.02588874	19.7225	1.5573	13.4794
0.00046631	0.49268338	0.04538778	15.3307	2.5683	5.7527
0.00055394	0.60127276	0.05339667	19.2434	2.3358	10.4741
0.00043192	0.49526736	0.05976559	14.8741	2.6092	5.4938
0.00037092	0.48696363	0.01852106	17.2774	1.9815	9.1679
0.00067789	0.92583364	0.02783898	17.1750	1.6242	10.9801
0.00084409	0.34108031	0.07201437	17.7480	2.7255	7.9324
0.00019198	0.50284994	0.03708965	19.0448	1.5003	13.3585
0.00083796	0.93856168	0.07568213	18.8080	2.8514	8.6550
0.00094197	0.54261380	0.07781505	14.5643	2.5013	6.0599
